governorate_code,year,month,total_visitors,international_visitors,domestic_visitors,avg_occupancy_rate,total_rooms,total_beds,occupied_rooms,temp,temp_max,rain,ramadan_days,eid_fitr_days,eid_adha_days,ramadan_start_date,ramadan_end_date,eid_fitr_date,eid_adha_date,is_ramadan_month,is_eid_month,name,highway_distance_km,has_airport,major_roads,road_density,accessibility_score,weather_adjusted_visitors,ramadan_adjusted_occupancy,accessibility_efficiency,visitors_per_bed,rooms_per_1000,beds_per_1000,intl_pct,capacity_adequacy,seasonal_amplitude
AJL,2020,1,483,193,290,34,50,80,17,6.512903225806451,14.3,167.2,0,0,0,2020-04-24,2020-05-23,2020-05-24,2020-08-02,False,False,Ajloun,20,False,1,low,40,385,34.0,12.075,6.0375,103.51966873706004,165.63146997929607,39.958592132505174,18.13664596273292,74.06341094756543
AJL,2020,2,593,243,350,48,50,80,24,8.182758620689656,17.4,109.5,0,0,0,2020-04-24,2020-05-23,2020-05-24,2020-08-02,False,False,Ajloun,20,False,1,low,40,487,48.0,14.825,7.4125,84.31703204047218,134.90725126475547,40.97807757166947,14.772344013490725,74.06341094756543
AJL,2020,3,791,297,494,61,50,80,30,11.432258064516128,23.9,153.7,0,0,0,2020-04-24,2020-05-23,2020-05-24,2020-08-02,False,False,Ajloun,20,False,1,low,40,689,61.0,19.775,9.8875,63.211125158027805,101.1378002528445,37.54740834386852,11.074589127686473,74.06341094756543
AJL,2020,4,1082,518,564,58,50,80,29,14.233333333333333,27.5,33.2,7,0,0,2020-04-24,2020-05-23,2020-05-24,2020-08-02,True,False,Ajloun,20,False,1,low,40,988,62.06,27.05,13.525,46.21072088724584,73.93715341959336,47.874306839186694,8.096118299445472,74.06341094756543
AJL,2020,5,855,330,525,51,50,80,25,19.76129032258065,35.7,43.8,23,3,0,2020-04-24,2020-05-23,2020-05-24,2020-08-02,True,True,Ajloun,20,False,1,low,40,851,62.73,21.375,10.6875,58.47953216374269,93.56725146198829,38.59649122807017,10.24561403508772,74.06341094756543
AJL,2020,6,663,206,457,36,50,80,18,21.39,31.5,4.0,0,0,0,2020-04-24,2020-05-23,2020-05-24,2020-08-02,False,False,Ajloun,20,False,1,low,40,649,36.0,16.575,8.2875,75.41478129713424,120.66365007541478,31.070889894419306,13.212669683257918,74.06341094756543
AJL,2020,7,545,187,358,42,50,80,21,25.05806451612903,37.0,0.0,0,0,0,2020-04-24,2020-05-23,2020-05-24,2020-08-02,False,False,Ajloun,20,False,1,low,40,503,42.0,13.625,6.8125,91.74311926605505,146.78899082568807,34.31192660550459,16.073394495412845,74.06341094756543
AJL,2020,8,644,253,391,30,50,80,15,24.393548387096775,40.0,0.9,0,0,4,2020-04-24,2020-05-23,2020-05-24,2020-08-02,False,True,Ajloun,20,False,1,low,40,601,30.0,16.1,8.05,77.63975155279502,124.22360248447205,39.285714285714285,13.602484472049689,74.06341094756543
AJL,2020,9,972,323,649,48,50,80,24,26.903333333333332,40.3,0.2,0,0,0,2020-04-24,2020-05-23,2020-05-24,2020-08-02,False,False,Ajloun,20,False,1,low,40,871,48.0,24.3,12.15,51.440329218106996,82.3045267489712,33.23045267489712,9.012345679012345,74.06341094756543
AJL,2020,10,968,455,513,60,50,80,30,22.322580645161292,32.8,0.0,0,0,0,2020-04-24,2020-05-23,2020-05-24,2020-08-02,False,False,Ajloun,20,False,1,low,40,934,60.0,24.2,12.1,51.65289256198347,82.64462809917356,47.00413223140496,9.049586776859504,74.06341094756543
