name,name_en,name_ar,tourism,amenity,shop,man_made,rooms,beds,addr_city,latitude,longitude
My Grandfather's House,My Grandfather's House,بيت جدي,hotel,,,,3,,ضانا,30.6766164,35.6094032
,Rashidiya,,camp_site,,,,,,,29.7327489,35.2820019
Little Petra Bedouin Camp,,,hotel,,,,,,,30.370803,35.4584968
Mussa Spring hotel,,,hotel,,,,,,,30.3250567,35.4974295
,,,camp_site,,,,,,,29.4247567,35.3902599
,,,camp_site,,,,,,,29.4790917,35.3958204
,,,camp_site,,,,,,,29.483235,35.3868094
Aitch Boutique Hotel,,,hotel,,,,,,,31.7229332,35.794309
,Feynan Wild Camp,,camp_site,,,,,,,30.6152821,35.4782157
Petra Boutique Hotel,,,hotel,,,,,,,30.3252687,35.471301
,,,hotel,,,,,,,31.9916381,35.8921432
value place,,,hostel,,,,8,,وادي موسى,30.3282073,35.4704955
,,,camp_site,,,,,,,29.6574357,35.4649473
Nobel Hotel,Nobel Hotel,,guest_house,,,,,,,31.9561877,35.9312012
فندق سدني عمان,Sydney Hotel Amman,فندق سدني عمان,hostel,,,,,,,31.951555,35.928257
Airport Villa Amman,,,apartment,,,,,,,31.7171718,35.9552901
Aljun Forest Reserve Cabins,,,hotel,,,,,,,32.3802512,35.7635842
Wadi al-Malaqa Campsite,,,camp_site,,,,,,,30.589533,35.4596408
,Imagination Luxury Camp,,camp_site,,,,,,,29.6135662,35.4936517
غدير الطير,Ghadeer altair,,camp_site,,,,,,,32.182481,36.371411
Al Nasir's Residence,,,apartment,,,,,,,31.1408139,35.7212318
Petra Harmony,Petra Harmony B&B,,guest_house,,,,,,,30.3145371,35.4756979
Roman's Kingdom,,,apartment,,,,,,,31.7130936,35.7899936
Mosaic City Hotel,,,hotel,,,,,,,31.7210959,35.7926029
Wadi Rum Desert Secret,,,hotel,,,,5,,Aqaba,29.602016,35.487128
Wadi Rum Village Lodge,,,hostel,,,,5,,Wadi Rum Village,29.5717071,35.4228105
Wadi Rum Village Hostel,,,hostel,,,,3,,Wadi Rum Village,29.5719081,35.4228158
كورال بي,Coral Bay,كورال بي,hotel,,,,,,,29.3993423,34.9674652
Camp Makhraba,,,camp_site,,,,,,,32.56932,35.6589103
موفنبيك,Movenpick,موفنبيك,hotel,,,,,,العقبة,29.5324098,34.9995105
Room17 Youth Hostel,,,hostel,,,,12,,aqaba,29.5539975,34.9995254
Cedar Hotel,,,hotel,,,,,,,29.5305594,35.0058197
Oryx Hotel,,,hotel,,,,,,Aqaba,29.5401096,34.9993798
Hakaia home,,,hostel,,,,,,,29.537897,35.0006848
اراضي الشيخ منصور الحراحشة,,,guest_house,,,,,,,30.8339489,36.4517335
نزل ال شرت الحقرا,,,guest_house,,,,20,,عجلون,32.3935824,35.7307879
Jabal Rum Camp,,,camp_site,,,,,,,29.6853607,35.4485015
Lavender Amman Hotel,,,hotel,,,,10,,Amman,31.7478749,35.939734
Sandra hotel,,,hotel,,,,,,,31.9469048,35.9337011
ديوان آل المناصرة,,,guest_house,,,,,,,32.5258082,35.776944
مضافة ال العمري (الرزاقين),,,guest_house,,,,,,,32.4859837,35.7967042
Atoom Lodge,,,apartment,,,,,,,32.2885577,35.8841452
,Petra Bubble Luxotel,,hotel,,,,,,,30.3843199,35.4827558
Hawa Guest house,Hawa Guest house,,guest_house,,,,,,,31.9541363,35.9320799
إستراحة قصر الأزرق,Azraq Rest House,إستراحة قصر الأزرق,hotel,,,,,,,31.8613621,36.8071782
مخيم عشاق الصحراء وادي رم,desert lovers camp,مخيم عشاق الصحراء,camp_site,,,,,,,29.5137982,35.479074
,Wadi Rum Sky,,hostel,,,,,,,29.4818909,35.4110728
عمان,Amman,,hostel,,,,,,Amman,31.9484006,35.9322218
Leen Guest House,,,apartment,,,,,,Wadi Musa,30.315486,35.4709378
,,,apartment,,,,,,,31.256049,35.5221723
Sara Apartment,,,apartment,,,,,,Wadi Musa,30.3156109,35.4704561
Hotel Mena Tyche,,,hotel,,,,,,,31.963027,35.8917618
,Wadi Rum Nature & Tours Camp,,camp_site,,,,,,,29.5008106,35.431439
Wild Camp,,,camp_site,,,,,,,31.8010361,35.7587147
Wild Camp,,,camp_site,,,,,,,30.5129629,35.467856
Seasonal Bedouin Tents,,,camp_site,,,,,,,30.36817,35.4453695
Wild Camp,,,camp_site,,,,,,,30.2160401,35.3624952
