osm_id,osm_type,name,name_en,name_ar,historic,tourism,ruins,heritage,heritage_operator,description,wikidata,wikipedia,latitude,longitude
93727476,way,مرصد طيور العقبة,Aqaba Bird Observatory,مرصد طيور العقبة,,attraction,,,,,Q31866612,,29.5724935,34.9850742
154249480,way,محمية الضمنة الحراجية,Al-Dhemna Forest Reserve,,,,,,,,,,32.7275373,36.60329
219048418,way,גן לאומי הר גריזים,Mount Garizim National Park,منتزه جبل جرزيم الوطني,,,,,,,,,32.2008399,35.2733445
295183528,way,محمية غابات عجلون,Ajloun Forest Reserve,محمية غابات عجلون,,,,,,,Q3384953,ar:محمية غابات عجلون,32.3803496,35.7561799
343923850,way,שמורת טבע חולות המפרץ,Holot HaMifratz Nature Reserve,,,,,,,,,,32.891877,35.0841669
391514976,way,שמורת טבע הר תבור,Har Tavor Nature Reserve,محمية جبل طابور,,,,,,,,,32.6863646,35.3912525
392358091,way,שמורת טבע הר כמון,Har Kamon Nature Reserve,محمية طبيعية جبل كمون,,,,,,,,,32.9057935,35.3495093
468978209,way,محمية غابات اليرموك,Yarmouk Forest Reserve,محمية غابات اليرموك,,,,,,,Q12241375,ar:محمية غابات اليرموك,32.6764611,35.7100605
491891147,way,סלמאן אל-פרסי,Salman al-Farsi,سلمان الفارسي,,,,,,,,,32.1687484,35.2321252
565964984,way,محمية ضانا الطبيعية,Dana Biosphere Reserve,محمية ضانا الطبيعية,,,,,,,Q864750,ar:محمية ضانا للمحيط الحيوي,30.7251083,35.5154299
570493519,way,محمية الموجب للمحيط الحيوي,Mujib Biosphere Reserve,محمية الموجب للمحيط الحيوي,,,,,,,Q22678667,ar:محمية الموجب للمحيط الحيوي,31.4996634,35.6252128
692840454,way,שמורת טבע נחל פרת,Nahal Prat Nature Reserve,نحال پرات,,,,,,,,,31.8464071,35.3481506
692842112,way,נחל מכוך,Nahal Makuh,,,,,,,,,,31.8908729,35.3707881
692845224,way,ואדי מלחה,Wadi Malaha,,,,,,,,Q31912239,,32.0085824,35.4840631
692845235,way,גשר אדם,Adam Bridge,,,,,,,,,,32.1125141,35.5381077
692845237,way,סרטבה,Sartaba,صرطبا,,,,,,,,,32.0856177,35.4512354
692848128,way,עינון,Einon,عينون,,,,,,,,,32.3022552,35.3960231
692848129,way,הר טמון,Mount Tammun,جبل طمّون,,,,,,,,,32.2612527,35.3997005
692848132,way,אלוני סיריס,Siris' Oaks,محمية سيريس المكسر,,,,,,,,,32.3126893,35.3125867
692848134,way,הר גדיר,Mount Gadir,جبل جادر,,,,,,,,,32.3142508,35.4115891
692850421,way,נבי ינון,,نبي يانون,,,,,,,,,32.1433198,35.362011
692850423,way,נבי איסמעיל,Nabi Isma'il,نبي إسماعيل,,,,,,,,,32.1771585,35.2684979
692855972,way,אלוני עראבה,,,,,,,,,,,32.4165038,35.1647583
692856688,way,נבי רבח,Nebi Rabah,نبي رباح,,,,,,,,,32.2022196,35.1255413
692856689,way,שייח' חבן (כור),Seikh Hoban (Kur),سيخ حبن (كور),,,,,,,,,32.2292566,35.101124
