name,name_en,name_ar,tourism,amenity,shop,man_made,rooms,beds,addr_city,latitude,longitude
سوق الخضرا,Souq El-Khodra,سوق الخضرا,attraction,marketplace,,,,,,31.9500152,35.9355474
My Grandfather's House,My Grandfather's House,بيت جدي,hotel,,,,3,,ضانا,30.6766164,35.6094032
,Rashidiya,,camp_site,,,,,,,29.7327489,35.2820019
Plane wreck,,,attraction,,,,,,,29.4180629,34.97162
,,,viewpoint,,,,,,,30.1784829,35.4276386
,,,viewpoint,,,,,,,30.1771935,35.4273962
Pella Ruins & Resthouse,,,attraction,,,,,,,32.4503495,35.617552
Little Petra Bedouin Camp,,,hotel,,,,,,,30.370803,35.4584968
Mussa Spring hotel,,,hotel,,,,,,,30.3250567,35.4974295
,,,camp_site,,,,,,,29.4247567,35.3902599
,,,camp_site,,,,,,,29.4790917,35.3958204
,,,camp_site,,,,,,,29.483235,35.3868094
Aitch Boutique Hotel,,,hotel,,,,,,,31.7229332,35.794309
The Petra Park Map,,,information,,,,,,,30.3244873,35.4679126
,Feynan Wild Camp,,camp_site,,,,,,,30.6152821,35.4782157
جسر الملك حسين,Allenby Bridge,جسر الملك حسين,attraction,,,,,,,31.8738717,35.5409112
Petra Boutique Hotel,,,hotel,,,,,,,30.3252687,35.471301
,,,hotel,,,,,,,31.9916381,35.8921432
,,,viewpoint,,,,,,,31.9535756,35.9386773
,,,information,,,,,,,32.6839583,35.6653072
value place,,,hostel,,,,8,,وادي موسى,30.3282073,35.4704955
Street of Facades,,,attraction,,,,,,,30.323142,35.4501264
Lion Monument,Lion Monument,,attraction,,,,,,,30.320191,35.44634
The Two Obelisks,The Two Obelisks,,attraction,,,,,,,30.3203403,35.4480045
Dorotheos' House,,,attraction,,,,,,,30.3326789,35.4542698
Al Habis,,,viewpoint,,,,,,,30.3290508,35.4388177
1 - Madaba’s Roman Road,,,information,,,,,,,31.7159171,35.7954839
,,,viewpoint,,,,,,,31.4457393,35.8199073
,,,viewpoint,,,,,,,31.4516769,35.5633547
