name,name_en,name_ar,tourism,amenity,shop,man_made,rooms,beds,addr_city,latitude,longitude
Airport Villa Amman,,,apartment,,,,,,,31.7171718,35.9552901
Al Nasir's Residence,,,apartment,,,,,,,31.1408139,35.7212318
Roman's Kingdom,,,apartment,,,,,,,31.7130936,35.7899936
Atoom Lodge,,,apartment,,,,,,,32.2885577,35.8841452
Leen Guest House,,,apartment,,,,,,Wadi Musa,30.315486,35.4709378
,,,apartment,,,,,,,31.256049,35.5221723
Sara Apartment,,,apartment,,,,,,Wadi Musa,30.3156109,35.4704561
حي مگطاع,,,apartment,,,,,,,31.7111539,35.7912609
,Faraseen Apartments,,apartment,,,,,,,31.7351648,35.9445421
الدكتور نجيب,,,apartment,,,,,,,32.0527425,35.904817
بيت أبو يزن,Abu Yazan building,,apartment,,,,,,,32.0953556,36.0905711
,,,apartment,,,,,,,32.0550279,35.8817607
ريان الحريري,,,apartment,,,,,,,32.060602,35.8902971
سامر انور الحريري,,,apartment,,,,,,,32.0602736,35.8882465
إشارة الدوريات الخارجية,Al Jubihah,,apartment,,,,,,,32.0239135,35.8548671
ابو السائد,ابو السائد شقة,ابو السائد شقة,apartment,,,,,,,31.913178,35.884551
منزل صالح الأحمد,,منزل صالح الأحمد,apartment,,,,,,عمان,31.9477001,35.8815988
,Diplomat Apartments,,apartment,,,,,,,31.9488018,35.882932
,Naima Amman App,,apartment,,,,,,,31.9541316,35.8721324
Officer house,,,apartment,,,,,,,31.9369542,35.8663601
Lorries,,,apartment,,,,,,,31.9362556,35.865806
Loretta,,Loretta Australian,apartment,,,,,,,31.9364016,35.8613359
منزل نبيل الخطيب,,,apartment,,,,,,,31.8699065,35.842963
بيت ست مي,,,apartment,,,,,,,31.9696515,35.8628431
Ats,,,apartment,atm,,,,,,31.9988936,35.8809205
طبربور/عمان/نصر,,,apartment,,,,,,,32.0060376,35.9390732
Mos place,Mos place,,apartment,,,,,,,32.0215363,35.8835562
,Hw,,apartment,,,,,,,31.9947137,35.8432028
النوم,stars,النجوم,apartment,,,,,,,31.9695938,35.8693491
روضة المورد النموذجية,,,apartment,,,,,,,31.9954074,35.8761792
,Danske damer,,apartment,,,,,,,31.9843665,35.8849762
حسين/ خلدا,,,apartment,,,,,,,31.9925607,35.8620057
العليا,,,apartment,,,,,,,31.9966419,35.8725821
Milad,Milad,,apartment,,,,,,,31.9992785,35.8665021
عمارة البترا,,,apartment,,,,,,,31.9963481,35.8601338
بيت حنان و رمزي,Hanan and Ramzi home,,apartment,,,,,,,31.9998898,35.8494662
,Dawas Abed,,apartment,,,,,,,32.5864623,35.8474686
,Fabrizia house,,apartment,,,,,,,31.9574986,35.917638
,Moh'd DMC appartment,,apartment,,,,,,,31.9766837,35.8456478
,no.7 apt of Kim MIL,,apartment,,,,,,,31.9679155,35.8349238
شقة ابو عدنان الحريري,,,apartment,,,,,,,32.0633979,35.8909501
منزل حسام قموه,Hussain Gammoh Home,,apartment,,,,,,,31.9797413,35.8434054
منزل حسام قموه,Hussain Gammoh Home,,apartment,,,,,,,31.9797251,35.8434399
هديل الاردن,,,apartment,,,,,,,31.9840148,35.8531255
,Full Panorama To Archaelogical Site Jarash,,apartment,,,,,,,32.2822104,35.8865371
منزل عامر هلسا,Amer Halasa Home,,apartment,,,,,,,31.9897425,35.847103
ابو هنانو الحريري,,,apartment,,,,,,,32.5492794,35.8078675
عبد الفتاح ابو الامين,,,apartment,,,,,,,32.5811798,35.8655509
,Full panorama to archeological Site Jerash - Studio,,apartment,,,,,,,32.2882749,35.8839693
مزرعة الدكتور يوسف,,,apartment,,,,,,,32.3289657,35.8605332
Roman Hotel,,Roman Theater Hotel,apartment,,,,,,,31.9531163,35.9393343
1234,1234,,apartment,,,,,,,32.0028035,35.9521736
عمر عبدالستار نواس,Omar AbdStar Nawas,,apartment,,,,,,,31.9830954,35.9226533
Najjar 6,Najjar 6,,apartment,,,,,,,31.9388532,35.8985106
منزل المهندس مجدي طلبه,,,apartment,,,,,,,31.9915094,35.8873096
,,,apartment,,,,,,,32.0032586,35.8764922
,,,apartment,,,,,,,29.5457318,35.0391371
شقق ال الدويك,,,apartment,,,,,,,29.548753,35.0144048
,my home,,apartment,,,,,,,30.343515,35.4587334
مالك,,,apartment,,,,,,,31.7148656,35.7912862
العيادات الخارجية سابقا,,,apartment,,,,,,,32.5237782,35.853495
منزل فابريزيا,,منزل فابريزيا,apartment,cafe,,,,,عمان,31.9390189,35.8665781
شقتي,,,apartment,,,,,,,31.9917112,35.8397656
White House,,,apartment,,,,,,,31.1875334,35.7053763
مزرعة عامر هلسا,Amer Halasa Farm,,apartment,,,,,,,31.3006196,35.7760257
منزل ميخائيل هلسا- الكرك,Michael Halasa Home - Al - Karak,,apartment,,,,,,,31.2899461,35.7990578
