name,name_en,name_ar,tourism,amenity,shop,man_made,rooms,beds,addr_city,latitude,longitude
خارطة مادبا,Madaba Map,خارطة مادبا,artwork,,,,,,,31.7176771,35.7941619
,,,artwork,,,,,,,31.1122407,35.7131289
,,,artwork,,,,,,,31.7680772,35.7256575
مدرسة باب الواد الاساسية,Bab El Wad Elementary School,,artwork,,,,,,,31.9737406,35.9500678
,,,artwork,,,,,,,29.5042615,35.9521049
,,,artwork,,,,,,,32.3216554,36.3664681
,,,artwork,,,,,,,32.3214537,36.3670716
,,,artwork,,,,,,,31.9584764,35.9154174
,,,artwork,,,,,,,31.958432,35.9152954
,,,artwork,,,,,,,31.9582113,35.9155623
,,,artwork,,,,,,,32.3294874,36.3682993
,,,artwork,,,,,,,31.7141186,35.7884762
نقابة الأطباء الاردنية,,,artwork,,,,,,,31.9708303,35.8960789
مكتب المهندس ثائر قبعة,Tha'er Qub'a Architects,مكتب المهندس ثائر قبعة,artwork,,,,,,,31.9799795,35.8936561
,,,artwork,,,,,,,32.3371499,36.3569114
,,,artwork,,,,,,,31.728685,35.784068
,,,artwork,,,,,,,31.689983,36.3485103
,,,artwork,,,,,,,31.9586246,35.9149317
,,,artwork,,,,,,,32.2737603,35.8966704
سيراميك,,,artwork,,,,,,,31.9107125,35.894017
work,,,artwork,,,,,,,32.0063343,36.0074231
مطعم فروجنا,,,artwork,,,,,,,31.9582203,35.8656216
مخبز السفراء,,,artwork,,,,,,,31.9585325,35.8649659
وزارة الثقافة,,,artwork,,,,,,,31.9897972,35.8792586
Ra'as Al-Ein Galleria,,,artwork,,,,,,,31.9443913,35.9214263
الخطوط الجوية العراقية,,,artwork,,,,,,,31.9598217,35.9208574
حديقة المأمونية,,,artwork,,,,,,,31.9631438,35.9202346
الركبان,,,artwork,,,,,,,33.3242509,38.7595148
Dr. Abdulqader A'abed,,,artwork,,,,,,,31.9028831,35.9143342
,,,artwork,,,,,,,31.9586212,35.9149988
,,,artwork,,,,,,,31.7538901,35.7657412
,,,artwork,,,,,,,31.7496551,35.7445134
منتزه غمدان,,منتزه غمدان,artwork,,,,,,,31.8602289,35.8936272
,,,artwork,,,,,,,32.2818424,35.8952254
Abu Ayser,,,artwork,,,,,,,32.4943357,35.797442
صالات السفير للأفراح,,,artwork,,,,,,,32.5223429,35.8739001
,,,artwork,,,,,,,31.9540023,35.9346718
Art street,,,artwork,,,,,,,31.9528271,35.9318487
,,,artwork,,,,,,,31.9581714,35.9158171
,,,artwork,,,,,,,31.958209,35.9156816
ديريوسف,,,artwork,,,,,,,32.4947994,35.7978026
,,,artwork,,,,,,,29.5751636,34.9783017
مدرسة الخمائل,,,artwork,,,,,,,31.9173556,35.8496864
,,,artwork,,,,,,,31.9843585,35.8275563
,,,artwork,,,,,,,31.9847028,35.8274097
Maze,,,artwork,,,,,,,31.9871489,35.8267991
,Alemaleh camel inscription,,artwork,,,,,,,29.614108,35.480924
Obelisque,,,artwork,,,,,,,30.3216349,35.4801026
سميح,Samih,,artwork,,,,,,,32.0048323,35.8854113
Thamudic & Kufic Rock Art,,,artwork,,,,,,,29.5975115,35.4559491
#❤PETRA,,,artwork,,,,,,,30.3166129,35.469697
I❤PETRA,,,artwork,,,,,,,30.3249932,35.4685696
Square study lounge,,,artwork,,,,,,,31.9577511,35.8594308
المقبرة الغربية,,,artwork,,,,,,,32.3142979,35.8315915
المقبرة العمرية,,,artwork,,,,,,,32.3152188,35.8375478
,,,artwork,,,,,,,31.9846059,35.8275716
,,,artwork,,,,,,,31.9824548,35.8272337
وكس,Wox,وكس,artwork,,,,,,,31.9402207,35.8843015
Statue of Saladin,,,artwork,,,,,,,31.1852519,35.7048548
Feel Burger,Feel Burger,,artwork,,,,,,,31.9573241,35.8633202
community art project,,,artwork,,,,,,,31.8498843,36.8195374
,,,artwork,,,,,,,32.0104049,35.8707574
The hand of Hercules,The hand of Hercules,,artwork,,,,,,,31.9538501,35.9344232
أنا أحب مادبا,i love Madaba,أنا أحب مادبا,artwork,,,,,,,31.7181917,35.793368
