name,name_en,name_ar,tourism,amenity,shop,man_made,rooms,beds,addr_city,latitude,longitude
سوق الخضرا,Souq El-Khodra,سوق الخضرا,attraction,marketplace,,,,,,31.9500152,35.9355474
Plane wreck,,,attraction,,,,,,,29.4180629,34.97162
Pella Ruins & Resthouse,,,attraction,,,,,,,32.4503495,35.617552
جسر الملك حسين,Allenby Bridge,جسر الملك حسين,attraction,,,,,,,31.8738717,35.5409112
Street of Facades,,,attraction,,,,,,,30.323142,35.4501264
Lion Monument,Lion Monument,,attraction,,,,,,,30.320191,35.44634
The Two Obelisks,The Two Obelisks,,attraction,,,,,,,30.3203403,35.4480045
Dorotheos' House,,,attraction,,,,,,,30.3326789,35.4542698
زوجة لوط,Lot's Wife,زوجة لوط,attraction,,,,,,,31.431061,35.5634221
,,,attraction,,,,,,,31.7181886,35.6015458
قصر اليهود,Qasr al Yahud,قصر اليهود,attraction,place_of_worship,,,,,,31.8370299,35.5460521
,Thieban Rock,,attraction,,,,,,,31.4749203,35.8073005
,Anoun‘s Spot,,attraction,,,,,,,31.3981837,35.5474661
,Salt Beach,,attraction,,,,,,,31.4024807,35.5498967
Lot's Cave,,,attraction,,,,,,,31.0468038,35.5028046
بيت ظافر عمان,,,attraction,,,,,,,31.9633278,35.7556229
مزرعة ابو رافع,,,attraction,,,,,,,31.7026428,37.2553212
محمية الأزرق,Azraq Wetland Reserve,محمية الأزرق,attraction,,,,,,,31.8337705,36.8212902
,,,attraction,,,,,,,29.4011282,34.9690868
قعفور,,,attraction,,,,,,,31.8954648,36.1652518
الطلافيح,,,attraction,,,,,,,31.8591701,35.9307943
وادي الطي,,,attraction,,,,,,,31.8654218,35.9246667
تلاع ابن طلفاح الطلافيح,,,attraction,,,,,,,31.8903123,36.2029265
رجم المبلج سالم الطلافيح,,,attraction,,,,,,,31.8988644,36.1819575
ابوسطل,,,attraction,,,,,,,31.8838899,36.2005176
,White Dome Trail,,attraction,,,,,,,30.6766062,35.6113639
,Wadi Dana Trail,,attraction,,,,,,,30.6751601,35.6090162
كنيسة الكاثوليك السريان مار يوسف,The Syrian Catholic Church of St. Joseph,كنيسة الكاثوليك السريان مار يوسف,attraction,,,,,,,31.9519654,35.9190004
Thamudic inscriptions,,,attraction,,,,,,,29.6463377,35.3494857
Little Petra,,,attraction,,,,,,,30.3751131,35.4509057
بنية ذياب,,,attraction,,,,,,,32.3810562,36.3623123
,Gap in fence (way down to Dead Sea),,attraction,,,,,,,31.599924,35.5618229
Wadi Zarqa Ma'in,,,attraction,,,,,,,31.6181229,35.5673189
,,,attraction,,,,,,,31.6180881,35.5669321
,dolmens,,attraction,,,,,,,31.7257675,35.7313188
,dolmens,,attraction,,,,,,,31.7358763,35.732451
Fulbright Commission,,Fulbright Commission,attraction,,,,,,,31.9689825,35.8905941
براك السحيم /جاوه,,,attraction,,,,,,,32.3267861,37.026047
تل الذايد,,,attraction,,,,,,,32.3544266,36.3823318
رسم الحصان,,,attraction,,,,,,,32.3702614,36.4231298
ابو العظام,,,attraction,,,,,,,32.3722456,36.3664542
ماكدونلز y,,,attraction,,,,,,,31.9828405,35.8906557
قرقوش ، اربد ، الأردن,"Qarqosh, Irbid, Jordan",,attraction,,,,,,,32.7108432,35.8724766
حديقة الامير هاشم,Prince Hashem Park,,attraction,,,,,,,31.9772073,35.950218
سد الوالة,,,attraction,,,,,,,31.5692029,35.8026101
سد راجل,,,attraction,,,,,,,31.8132593,37.1607023
دوار الواحة y,,,attraction,,,,,,,31.9889324,35.8742963
وادي الباعج الشمالي,,,attraction,,,,,,,32.3802935,36.3429257
الدرزي رسم قديم,,,attraction,,,,,,,32.3603736,36.3395503
البغلاة,,,attraction,,,,,,,32.3678379,36.3265504
المذبح رسم قديم,,,attraction,,,,,,,32.327215,36.3322194
ساحة باريس,Paris Circle,ساحة باريس,attraction,,,,,,,31.9557361,35.9279456
ساحة النخيل,Palms Plaza,,attraction,,,,,,,31.9453348,35.9283437
wj,,wj,attraction,,,,,,,31.9964335,35.8814384
Younes فندق سميراميس,,,attraction,,,,,,,31.9901603,35.8716222
ريم البوادي,,ريم البوادي,attraction,,,,,,,31.990895,35.8657266
الزيتات رسم قديم,,,attraction,,,,,,,32.3720848,36.2420006
,Japanese garden,,attraction,,,,,,,31.9367219,35.8895633
قناة الاردن اليوم,Jordan alyum,,attraction,,,,,,,31.9554016,35.9129715
,ICRC office,,attraction,,,,,,,31.9456961,35.8658519
فندق شجرة الزيتون عمان,,,attraction,,,,,,,31.9433788,35.8568978
قاع البنزين,,,attraction,,,,,,,31.8339774,37.2118211
bebo,,,attraction,,,,,,,31.8256078,35.6952567
billllllal,,,attraction,,,,,,,31.8200138,35.7764655
منزل زياد العبد ابو محمد,,,attraction,,,,,,,31.9708806,35.8558995
دوار بديعة,,,attraction,,,,,,,32.526813,35.8439617
,Tabqet Fahel,,attraction,,,,,,,32.4367368,35.5957466
القصبات,,القصبات,attraction,,,,,,,32.4639077,35.6307044
Natural Arch,,,attraction,,,,,,,32.4648258,35.619562
חוות התנינים,Crocodile farm,,attraction,,,,,,,32.6853309,35.6670928
,,,attraction,,,,,,,32.2806156,35.8929364
سد الملك طلال,,,attraction,,,,,,,32.1923807,35.8009251
سد كفرنجة,,,attraction,,,,,,,32.2679199,35.6452228
,,,attraction,,,,,,,32.6489072,35.6823486
دوار الجامعة,,,attraction,,,,,,,32.5411224,35.8511647
اشارة الاسكان,,,attraction,,,,,,,32.5439397,35.8504
صالات السفير للافراح,,,attraction,,,,,,,32.5223907,35.8739451
اشارة النسيم,,,attraction,,,,,,,32.5312321,35.8524804
ابراهيم الشاعر,,,attraction,,,,,,,32.5722335,35.8682046
يبابيع سوف,,,attraction,,,,,,,32.3173612,35.8394512
,Marka Military Airport,,attraction,,,,,,,31.9666476,35.995256
Home Om Nowwarah,,Home Om Nowwarah,attraction,,,,,,,31.9281591,35.9672229
Y مدينة ملاهي الاذاعة والتلفزيون,,,attraction,,,,,,,31.9116702,35.9185678
عشيره الطلافيح,,,attraction,,,,,,,31.8582816,35.9315124
الطلافيح,,,attraction,,,,,,,31.8574871,35.931645
,,,attraction,,,,,,,31.8055109,35.9201206
Scale colorate,,,attraction,,,,,,,31.9513806,35.9345359
مطل جاوا جبل ابن طلفاح,,,attraction,,,,,,,31.8576674,35.9308229
الوساد,,,attraction,,,,,,,31.8599795,37.9841712
قاع الحفيره,Alhafira,,attraction,,,,,,,31.147356,36.1886566
سد الجلات,,,attraction,,,,,,,31.4743076,36.4186416
شعيب الدمنه,,,attraction,,,,,,,31.8737766,36.2156279
تل جرمى,,,attraction,,,,,,,31.7852267,37.1364379
وادي الباعج الجنوبي,,,attraction,,,,,,,32.3652226,36.347503
العراضي  رسم قديم,,,attraction,,,,,,,32.3460551,36.3289415
راس عيطا,,,attraction,,,,,,,31.8132659,37.1606928
راس عمر,,,attraction,,,,,,,30.523354,37.4209986
Amman Exhibition Park,,,attraction,,,,,,,31.9245915,35.8605371
Rainbow reef,,,attraction,,,,,,,29.4325243,34.9737847
Cedar Pride Shipwreck,,,attraction,,,,,,,29.4310657,34.9731609
Underwater military museum,,,attraction,,,,,,,29.4464701,34.9671006
King abdullah reef,,,attraction,,,,,,,29.4397672,34.9685438
,,,attraction,,,,,,,29.4014304,34.9688328
Tank,,,attraction,,,,,,,29.4187751,34.9716597
,,,attraction,,,,,,,29.3605988,35.4040762
مدخل نغره,,,attraction,,,,,,,29.3673745,35.4217369
ابو طنطور,,,attraction,,,,,,,32.3563661,36.3604758
البغلات,,,attraction,,,,,,,32.3685066,36.3314579
,sunset,,attraction,,,,,,,29.4662294,35.4461714
,Natural Bridge,,attraction,,,,,,,29.4783948,35.4750936
Chicken rock,,,attraction,,,,,,,29.4736336,35.3917332
Aqaba Trail,,,attraction,,,,,,aqaba,29.533143,35.0071735
Wadi al Ghuwyar,,,attraction,,,,,,,31.1389066,35.7571799
,Wild Wadi Rum,,attraction,,,,,,,29.5746833,35.418689
Petroglyphs,,,attraction,,,,,,,29.5717378,35.4110819
,Red sand dune Abu Breshmana near Jabal Um Ishrin,,attraction,,,,,,,29.5631001,35.4433325
Cave,,,attraction,,,,,,,29.7224198,35.4460319
,Siq Um Al Tawaki,,attraction,,,,,,,29.6221723,35.4942718
Lawrence Face,,,attraction,,,,,,,29.6197372,35.4933357
Siq Um Al Tawaqi,,,attraction,,,,,,,29.619533,35.4935566
Canyon makharas,,,attraction,,,,,,,29.6176138,35.4546885
,,,attraction,,,,,,,30.3362163,35.4339814
Triclinium,Triclinium,,attraction,,,,,,,30.3233416,35.4450473
The Outer Siq,,,attraction,,,,,,,30.32302,35.4502825
,,,attraction,,,,,,,30.3290356,35.4419054
Columbarium,,,attraction,,,,,,,30.328954,35.4393546
Unfinished Tomb,Unfinished Tomb,,attraction,,,,,,,30.3292481,35.4393665
Funtain Mouse,,,attraction,,,,,,,30.3225992,35.4848092
,Wadi Al-Hasa,,attraction,,,,,,,30.8830722,35.6928903
حمامات عفرا,Hammamat Afra Hot Springs,حمامات عفرا,attraction,,,,,,,30.9677296,35.6422421
Red Sand Dunes,Sand dune,,attraction,,,,,,,29.5289843,35.4216715
,,,attraction,,,,,,,29.5190095,35.4249193
Siq al Khazali,,الخزعلي,attraction,,,,,,,29.5179618,35.4234697
,Good Free Climb Area,,attraction,,,,,,,29.508952,35.4138825
Lawrence's House,Lawrence House,,attraction,,,,,,,29.5286207,35.4593101
Little Bridge,,,attraction,,,,,,,29.5204057,35.4430164
Siq Trail,Siq Trail,,attraction,,,,,,,29.4936227,35.4700933
فندق لانكستر شقق فندقية ضاحية الرشيد عمان اردن,,,attraction,,,,,,,32.0054073,35.8792195
,Al Hasany Sand dunes,,attraction,,,,,,,29.5484199,35.448852
,big dune,,attraction,,,,,,,29.5535407,35.4440717
Ancient inscriptions,,,attraction,,,,,,,29.5981198,35.4966813
Mushroom rock,,,attraction,,,,,,,29.7088108,35.4527848
cinema decorations,,,attraction,,,,,,,29.7271677,35.4729167
rock arch,,,attraction,,,,,,,29.8104195,35.4559887
المحافير,,,attraction,,,,,,,32.313319,35.8415792
Mineshaft,,,attraction,,,,,,,30.6395736,35.4905312
,Wadi Al-Nakheel,,attraction,,,,,,,30.6007128,35.54732
Rock carving,,,attraction,,,,,,,30.322003,35.4550561
Rock-carved shrine,,,attraction,,,,,,,30.3230981,35.4571429
Elephant or Fish in Siq canyon,,,attraction,,,,,,,30.3232094,35.4566675
Carmine Tomb,,,attraction,,,,,,,30.3314427,35.4523547
Al-Madras,,,attraction,,,,,,,30.32034,35.4620523
Bab al-Siq Triclinium,Bab al-Siq Triclinium - Obelisk Tomb,,attraction,,,,,,,30.3212234,35.4632816
Aqueduct Tunnel,,,attraction,,,,,,,30.3340273,35.4634739
Al-Wu'eira Fort,,,attraction,,,,,,,30.331172,35.466454
,Painted House,,attraction,,,,,,,30.3740065,35.4482735
,Triclinia,,attraction,,,,,,,30.3742003,35.4485834
الشجرة موقع قديم,,,attraction,,,,,,,32.3640519,36.4092749
البرغل رسم قديم,,,attraction,,,,,,,32.4275589,36.268815
الزيتات رسم قديم,,,attraction,,,,,,,32.3711081,36.240944
مقطع رجلين عبيد رسم قديم,,,attraction,,,,,,,32.4389056,36.2885942
Dead Sea Access - Free,,Dead Sea Access - Free,attraction,,,,,,,31.6008429,35.5608535
مكتبة الاستقلال,,مكتبة الاستقلال,attraction,,,,,,,31.957411,35.8663238
Bin Hammad Hot Spring Baths,,حمامات ابن حمّاد,attraction,,,,,,,31.3000442,35.6260388
بالقرب من التلول,,قاع حمزه,attraction,,,,,,,31.7323828,37.1079714
Mughar an-Nasara,,,attraction,,,,,,,30.3355375,35.4542056
Birds,,,attraction,,,,,,,30.6853658,35.5740166
وادي رم,Wadi Rum,وادي رم,attraction,,,,,,,29.5084443,35.3362154
Lawrence's Spring,,ابو عيينة,attraction,,,,,,,29.5597872,35.4101902
