name,name_en,name_ar,tourism,amenity,shop,man_made,rooms,beds,addr_city,latitude,longitude
,Rashidiya,,camp_site,,,,,,,29.7327489,35.2820019
,,,camp_site,,,,,,,29.4247567,35.3902599
,,,camp_site,,,,,,,29.4790917,35.3958204
,,,camp_site,,,,,,,29.483235,35.3868094
,Feynan Wild Camp,,camp_site,,,,,,,30.6152821,35.4782157
,,,camp_site,,,,,,,29.6574357,35.4649473
Wadi al-Malaqa Campsite,,,camp_site,,,,,,,30.589533,35.4596408
,Imagination Luxury Camp,,camp_site,,,,,,,29.6135662,35.4936517
غدير الطير,Ghadeer altair,,camp_site,,,,,,,32.182481,36.371411
Camp Makhraba,,,camp_site,,,,,,,32.56932,35.6589103
Jabal Rum Camp,,,camp_site,,,,,,,29.6853607,35.4485015
مخيم عشاق الصحراء وادي رم,desert lovers camp,مخيم عشاق الصحراء,camp_site,,,,,,,29.5137982,35.479074
,Wadi Rum Nature & Tours Camp,,camp_site,,,,,,,29.5008106,35.431439
Wild Camp,,,camp_site,,,,,,,31.8010361,35.7587147
Wild Camp,,,camp_site,,,,,,,30.5129629,35.467856
Seasonal Bedouin Tents,,,camp_site,,,,,,,30.36817,35.4453695
Wild Camp,,,camp_site,,,,,,,30.2160401,35.3624952
,Zawaideh desert camp,,camp_site,,,,,,,29.6377812,35.5123309
Wadi Al Ghwer Camp,,,camp_site,,,,,,,30.6244666,35.5018192
,Bedouin Whispers Camp,,camp_site,,,,,,,29.4833812,35.415243
,,,camp_site,,,,,,,29.4798903,35.3903292
,Good place for a tent (+water),,camp_site,,,,,,,30.6015389,35.5400838
,,,camp_site,,,,,,,29.6234947,35.4999101
Cyber City Refugee Camp,,,camp_site,,,,,,,32.4569234,35.9717423
Wild Camp,,,camp_site,,,,,,,32.443718,35.74644
Wild Camp Ayoun Al-Theeb,,,camp_site,,,,,,,31.7191544,35.6722645
Camp Wadi Mgair,,,camp_site,,,,,,,31.0464938,35.6697055
Camp Burbaita,,,camp_site,,,,,,,30.9774683,35.6563909
,,,camp_site,,,,,,,29.5888351,35.4962324
Husban 2,,,camp_site,,,,,,,31.8004375,35.7581434
Husban 2,,,camp_site,,,,,,,31.8003065,35.7581953
,JOR QRF Camp,,camp_site,,,,,,,32.0983607,36.1232986
,Zarqa - Jerash Rs ( Land 379 ),,camp_site,,,,,,,32.2476146,35.9770218
,,,camp_site,,,,,,,31.9992508,35.8671776
Olive Branch Campsite,,,camp_site,,,,,,,32.2956399,35.8546541
ارض ٢٧٩ - خاص احمد قديمات,Zarga-Jerash Land 279,,camp_site,,,,,,,32.2894164,35.9873558
,,,camp_site,,,,,,,32.5411139,35.8405071
البيت,,منزل حماد الطلافيح,camp_site,,,,,,,31.8577087,35.9304413
,,,camp_site,,,,,,,29.5158552,35.4332261
,,,camp_site,,,,,,,31.4374238,35.7995403
الإبراهيمية,,,camp_site,,,,,,,32.4297761,35.8260028
Um Ghada Rum,,,camp_site,,,,,,,29.442673,35.3344477
Wadi Rum Fire Camp,,,camp_site,,,,,,,29.4894187,35.4305756
,Mohammed Mutlak Camp,,camp_site,,,,,,,29.4873381,35.3873472
,Wadi Rum Bedouin Tour with a Camp,,camp_site,,,,,,,29.4882619,35.3983492
,Khaled's Camp,,camp_site,,,,,,,29.4868419,35.3940851
