name,name_en,name_ar,tourism,amenity,shop,man_made,rooms,beds,addr_city,latitude,longitude
كراج نايل الذيابات,,,caravan_site,,,,,,,32.5368466,36.0252067
كراج برج الحياه,,,caravan_site,,,,,,,32.5360119,36.0254682
كراج شرق الترخيص,,,caravan_site,,,,,,,32.5311034,36.0301666
,,,caravan_site,,,,,,,32.5282241,36.0341914
,,,caravan_site,,,,,,,32.5267159,36.0330368
منزل نصري سعاده,,,caravan_site,,,,,,,32.0991129,36.1009621
منزل عمي هليل الاردن مغير السرحان,,,caravan_site,,,,,,,32.4584856,36.2070331
البيت,,,caravan_site,,,,,,,31.9364487,35.8608611
ابو ناصر,,,caravan_site,,,,,,,32.0332651,35.8228785
اياد العورتاني,,,caravan_site,,,,,,,32.0160063,35.8767735
كراج فلاح الذيابات,,,caravan_site,,,,,,,32.5520263,36.0186593
كراج جنوب الوكاله,,,caravan_site,,,,,,,32.5517956,36.020746
ضياء ابو العلا,,,caravan_site,,,,,,,31.8393087,35.6975352
ابو الوليد الثوابي,,,caravan_site,,,,,,,31.8610097,35.7593943
عدنان صلاحات,,,caravan_site,,,,,,,32.0059407,36.0247481
,منزل ابو اشرف استيتي,,caravan_site,,,,,,,32.0152175,36.0410812
,,,caravan_site,,,,,,,32.5280733,36.0320286
كراج ابن البلد,,,caravan_site,,,,,,,32.5377678,36.0249732
,,,caravan_site,,,,,,,32.5370466,36.0178889
,,,caravan_site,,,,,,,32.6612983,35.6783467
كراج الذيابات,,,caravan_site,,,,,,,32.545032,36.0171165
بيت ابرار,,,caravan_site,,,,,,,31.9476297,36.0008279
,,,caravan_site,,,,,,,31.9001608,35.8606689
,,,caravan_site,,,,,,,31.8987839,35.8411629
,,,caravan_site,,,,,,,32.0299842,35.9287781
بيت الهرش,,بيت الهرش,caravan_site,,,,,,,31.9280323,35.900562
منزل عدنان الجديد,,,caravan_site,,car_parts,,,,,30.5410467,37.2500486
,,,caravan_site,,,,,,,30.2361417,37.0508408
,,,caravan_site,,,,,,,30.236185,37.0508992
,,,caravan_site,,,,,,,32.204904,35.7175794
,,,caravan_site,,,,,,,30.2361536,37.0508463
