name,name_en,name_ar,tourism,amenity,shop,man_made,rooms,beds,addr_city,latitude,longitude
Nobel Hotel,Nobel Hotel,,guest_house,,,,,,,31.9561877,35.9312012
Petra Harmony,Petra Harmony B&B,,guest_house,,,,,,,30.3145371,35.4756979
اراضي الشيخ منصور الحراحشة,,,guest_house,,,,,,,30.8339489,36.4517335
نزل ال شرت الحقرا,,,guest_house,,,,20,,عجلون,32.3935824,35.7307879
ديوان آل المناصرة,,,guest_house,,,,,,,32.5258082,35.776944
مضافة ال العمري (الرزاقين),,,guest_house,,,,,,,32.4859837,35.7967042
Hawa Guest house,Hawa Guest house,,guest_house,,,,,,,31.9541363,35.9320799
Hadrian's Arch,,,guest_house,,,,3,,Jerash,32.2819773,35.8866289
,Private room,,guest_house,,,,,,,31.3313362,35.6553658
منزل ابو خليل غراب,Abu Khalil Ghorab,,guest_house,,,,,,,32.1066525,36.2881699
زيدان ضيافة,,زيدان ضيافة,guest_house,,,,,,,32.0945849,36.1065776
منزل صالح جرار,,,guest_house,,,,,,,32.0236071,35.8544864
زرقاء,,زرقاء,guest_house,,,,,,,32.0404507,36.0741817
عمرعوده الرشيد,,,guest_house,,,,,,,31.9827252,35.9207841
منزل عمي سليمان الوريكات,,,guest_house,,,,,,,32.0856231,35.8607653
بيت صفوان,Safoun house,,guest_house,,,,,,,32.0303984,35.8580502
بيت صفوان,,,guest_house,,,,,,,32.0307707,35.8578073
Jordan River Hostel,Jordan River Hostel,,guest_house,,,,,,,31.9560008,35.9313791
Shaker Melhem,,,guest_house,,,,,,,31.9972088,35.8756431
كمال اردن,,,guest_house,,,,,,,31.9745068,35.9136373
Home 2,,,guest_house,,,,,,,31.9199032,35.8869766
,Mariam Host,,guest_house,,,,,,,31.952368,35.91216
ناصر ابوريان,naser abu rayyan,,guest_house,,,,,,,32.0039823,35.9486297
منزل ابو ابراهيم ريان,,,guest_house,,,,,,,32.012992,36.0255383
ابو  ابراهيم  المزرعاوي,,,guest_house,,,,,,,32.0200665,35.8938849
diğerlerinin evi,,,guest_house,,,,,,,32.0299422,35.8781405
ديوان القسايمه,Al Qasaimeh lounge,ديوان القسايمه,guest_house,,,,,,,32.5244172,35.7877968
Beit Al-Baraka,,,guest_house,,,,3,6,,32.6552962,35.683602
مضافة ال العمري (المخاتير),,,guest_house,,,,,,,32.4868307,35.796818
مضافة ال العمري (عبد الغني),,,guest_house,,,,,,,32.4884709,35.798542
Ruins Wall,,,guest_house,,,,,,,32.2853084,35.892165
خالد عصفور,,,guest_house,,,,,,,31.9935234,35.9391294
guest house hazem,,,guest_house,,,,,,,31.8792289,36.8251611
walaa house,walaa house,,guest_house,,,,,,,31.9902073,35.9579584
دار عمي أبو جهاد,,دار عمي أبو جهاد,guest_house,,,,,,,31.8938979,35.836585
Jubaiha's Apartment.,Jubaiha's Apartment.,,guest_house,,,,,,,32.0209278,35.8910833
Jubieha's House,Jubieha's House,,guest_house,,,,,,,32.0208984,35.8911825
Seedu's House,,,guest_house,,,,,,,31.936774,35.9433416
Al-Mansi,,,guest_house,,,,,,,32.5252136,35.8492485
evim,,,guest_house,,,,,,,32.021011,35.8689527
yanlış yol,,,guest_house,,,,,,,32.0214921,35.8688014
evim,,,guest_house,,,,,,,32.0204467,35.8696179
The little B&B on the hill,,,guest_house,,,,2,5,,30.3334561,35.4761222
Petra Bed and Breakfast,,,guest_house,,,,4,,,30.3336939,35.4773205
,Barqash Hostel,,guest_house,,,,,,,32.4137919,35.7428617
home amman,,,guest_house,,,,,,,31.9441577,35.9614742
,Mount Dana Hotel,,guest_house,,,,,,,30.6709352,35.6186778
صخر هديرس,,,guest_house,,,,,,,32.1429849,35.6164518
The smallest Hotel in the World,,,guest_house,,,,,,,30.5291784,35.5649979
Wadi Dana Eco-Camp,,,guest_house,,,,,,,30.6841314,35.6128294
Dana Moon Hotel,,,guest_house,,,,,,,30.6748839,35.6104168
,,,guest_house,,,,,,عمان,31.9418299,35.8677925
مضافة ال العمري (بني موسى),,,guest_house,,,,,,,32.4863812,35.7923378
Ruba,Ruba,Ruba,guest_house,,,,,,,31.9871553,35.9348314
Qaimaris,Qaimaris,,guest_house,,,,,,,31.9040391,35.8661371
Happy Bedouin House,,,guest_house,,,,,,,30.3446574,35.456727
Jad Al Younis house,,,guest_house,,,,,,,31.8779493,36.8241046
house,,,guest_house,,,,,,,32.0043525,35.8811492
Blue House Gerasa,,,guest_house,,,,,,,32.2783603,35.8980434
Jordan Guest House,,,guest_house,,,,,,,30.3100128,35.4757156
,,,guest_house,,,,,,,30.2555425,35.4564196
,Barqash House - best homestay!,,guest_house,,,,,,,32.4137959,35.7427936
,Barqash Hostel,,guest_house,,,,,,,32.4137931,35.7428516
,Airbnb Aqaba,,guest_house,,,,,,,29.531577,35.0116244
,Airbnb Aqaba II,,guest_house,,,,,,,29.541789,35.0200428
,Petra Royal Ranch,,guest_house,,,,,,,30.3699609,35.4675347
Dana Tower Hotel,,,guest_house,,,,,,,30.6755371,35.6093639
Ibrahim Jawabreh's house,,,guest_house,,,,,,,32.6531468,35.680632
بيت الكرم,Beit alkaram,,guest_house,,,,,,,31.1824218,35.7027741
Homestay Orjan 2,,,guest_house,,,,,,,32.3994172,35.7392425
Beit Philodemus Bed & Breakfast,,,guest_house,,,,,,,32.6510205,35.6925872
Homestay Orjan 3,,,guest_house,,,,,,,32.4022102,35.7352517
Homestay Orjan 1,,,guest_house,,,,,,,32.3973203,35.7379064
Homestay Orjan,,,guest_house,,,,,,,32.3970686,35.7319339
B&B Gadara Rent Room,,,guest_house,,,,,,,32.6536463,35.6851845
Eisa Dweekat Guest House,,,guest_house,,,,,,,32.4043304,35.7479172
منزل موسى يوسف مقداد,,,guest_house,,,,5,,عجلون,32.3960257,35.7348027
"Homestay, Eisa Zghoul",,,guest_house,,,,,,,32.2467502,35.7593918
بيت الرحال,Bayt Alrahaal,,guest_house,,,,,,,31.958231,35.9240543
