name,name_en,name_ar,tourism,amenity,shop,man_made,rooms,beds,addr_city,latitude,longitude
value place,,,hostel,,,,8,,وادي موسى,30.3282073,35.4704955
فندق سدني عمان,Sydney Hotel Amman,فندق سدني عمان,hostel,,,,,,,31.951555,35.928257
Wadi Rum Village Lodge,,,hostel,,,,5,,Wadi Rum Village,29.5717071,35.4228105
Wadi Rum Village Hostel,,,hostel,,,,3,,Wadi Rum Village,29.5719081,35.4228158
Room17 Youth Hostel,,,hostel,,,,12,,aqaba,29.5539975,34.9995254
Hakaia home,,,hostel,,,,,,,29.537897,35.0006848
,Wadi Rum Sky,,hostel,,,,,,,29.4818909,35.4110728
عمان,Amman,,hostel,,,,,,Amman,31.9484006,35.9322218
Trajan inn,,,hostel,,,,,,,31.4332465,35.7924757
شقة عمان الكاردنز (m&h),,,hostel,,,,,,,31.8402771,36.0512666
,,,hostel,,,,,,,32.5394188,35.8500334
Bait Ali Camp,,,hostel,,,,,,,29.6859063,35.428379
شقة عمان الكاردنز (m&h),,,hostel,,,,,,,31.9838719,35.8933849
الززززززز,اللبد,,hostel,,,,,,,31.9557827,35.8515313
,Hostel 1930,,hostel,,,,,,,31.9510054,35.9259663
نزل خروب,Carob Hostel,,hostel,,,,,,,31.9587592,35.9302473
منزل خلدون السويطي 2,,,hostel,,,,,,,31.9960918,35.9054386
,,,hostel,,,,,,,31.9960127,35.9054566
منزل ضياء صلاحات,,,hostel,,,,,,,31.8781536,35.8623865
عمارة ابو دبور 6,,,hostel,,,,,,,31.8969153,35.918658
The Wanderers Hostel,,,hostel,,,,,,,31.9522918,35.9177063
الصباح للشقق الفندقية,Sabbah hotel apartments,الصباح للشقق الفندقية,hostel,,,,,,,31.9624827,35.9170121
iRealRent Thi Qar (Apartments 4 Rent),,,hostel,,,,,,,31.9560279,35.9134182
Rami Abu Ein,,,hostel,,,,,,,32.5394253,35.8501218
Haroon Hotel,,,hostel,,,,,,,31.9533008,35.941976
مهندس. رائد حسني محمود,Eng. Ra'ed H Al-Qubbaj,,hostel,,,,,,,31.8691762,35.9215669
The Cabin Hostel,,,hostel,,,,,,,31.9525236,35.932519
منزل خلدون السويطي,,,hostel,,,,,,,31.961845,35.9303399
Al Hamed Housing,,,hostel,,,,,,,32.5395911,35.85105
Mohammad,,,hostel,,,,,,,32.0195635,35.8551956
,Alreshik hotel,,hostel,,,,,,,29.5265604,35.0033905
Petra Star Hostel,,,hostel,,,,,,,30.3212859,35.4801376
Petra Capsule Hostel,,,hostel,,,,,,,30.3213533,35.4803074
Rafiki Hostel,,,hostel,,,,,,,30.3232898,35.4793202
Camp,,,hostel,,,,,,,29.5028388,35.4088944
منزل عبد الله طالب السويطي,,,hostel,,,,,,,31.9972897,35.9159043
منزل محمد سنجلاوي (أبو أسامه),,منزل محمد سنجلاوي (أبو أسامه),hostel,,,,,,,32.5469978,35.9832025
,Room17 Youth Hostel,,hostel,,,,,,,29.554038,34.9996195
Pq,,,hostel,,,,,,,30.3185519,35.4796775
Petra Bods Hostel,,,hostel,,,,,,,30.3252721,35.4724291
,Petra Cabin Hostel&Restaurant,,hostel,,,,,,,30.3266737,35.4703953
360 hostel,,,hostel,,,,,,,30.3267066,35.4703895
,Carob Hostel,,hostel,,,,,,,31.9587736,35.930267
,,,hostel,,,,,,,31.8704354,36.0080379
Nomads Hostel,,,hostel,,,,,,,30.321748,35.4731288
,Cabin Hostel,,hostel,,,,,,,30.326749,35.4703936
,,,hostel,,,,,,,30.1963145,35.7259439
Seven Wonders Bedouin Camp,,,hostel,,,,,,,30.3682548,35.462328
المنزل,,,hostel,,,,,,,32.5592533,35.8251573
Hakaia Community Hostel,,,hostel,,,,,,Aqaba,29.5278483,35.0060458
Al Amer Hostel,,,hostel,,,,,,,29.5254724,35.0089921
سليمان الحريري,,,hostel,,,,,,,32.3004837,36.3182098
محمود الشيخ سالم,,محمود الشيخ سالم,hostel,,,,,,عمان,31.9653359,35.8624205
St. Jador Rest House,,,hostel,,,,,,,31.8773872,36.8232134
Extra Traveller Hostel,,,hostel,,,,,,,29.5344092,35.0002517
مزرعة جوهرة السلط,,,hostel,,,,,,,32.1151575,35.7975787
,Desert Moon,,hostel,,,,,,,30.323516,35.4802492
نزل جدار المدينة,Ruin Wall Hotel&Hostel,,hostel,,,,,,,32.285262,35.8922273
نزل خروب,Carob Hostel,,hostel,,,,,,,31.9587065,35.9302373
عمارة 95,,,hostel,,,,,,,31.9297447,35.9122741
Darna Hostel,,,hostel,,,,3,,,31.9544625,35.9286852
Homestay Rasoun,,,hostel,,,,,,,32.4017084,35.7593741
Beit Idis Homestay,,,hostel,,,,,,,32.4404882,35.6818267
,Hakaia Hostel,,hostel,,,,,,,29.5280719,35.0063122
Jordan Eco Park,,,hostel,,,,,,,32.5259365,35.618245
