name,name_en,name_ar,tourism,amenity,shop,man_made,rooms,beds,addr_city,latitude,longitude
My Grandfather's House,My Grandfather's House,بيت جدي,hotel,,,,3,,ضانا,30.6766164,35.6094032
Little Petra Bedouin Camp,,,hotel,,,,,,,30.370803,35.4584968
Mussa Spring hotel,,,hotel,,,,,,,30.3250567,35.4974295
Aitch Boutique Hotel,,,hotel,,,,,,,31.7229332,35.794309
Petra Boutique Hotel,,,hotel,,,,,,,30.3252687,35.471301
,,,hotel,,,,,,,31.9916381,35.8921432
Aljun Forest Reserve Cabins,,,hotel,,,,,,,32.3802512,35.7635842
Mosaic City Hotel,,,hotel,,,,,,,31.7210959,35.7926029
Wadi Rum Desert Secret,,,hotel,,,,5,,Aqaba,29.602016,35.487128
كورال بي,Coral Bay,كورال بي,hotel,,,,,,,29.3993423,34.9674652
موفنبيك,Movenpick,موفنبيك,hotel,,,,,,العقبة,29.5324098,34.9995105
Cedar Hotel,,,hotel,,,,,,,29.5305594,35.0058197
Oryx Hotel,,,hotel,,,,,,Aqaba,29.5401096,34.9993798
Lavender Amman Hotel,,,hotel,,,,10,,Amman,31.7478749,35.939734
Sandra hotel,,,hotel,,,,,,,31.9469048,35.9337011
,Petra Bubble Luxotel,,hotel,,,,,,,30.3843199,35.4827558
إستراحة قصر الأزرق,Azraq Rest House,إستراحة قصر الأزرق,hotel,,,,,,,31.8613621,36.8071782
Hotel Mena Tyche,,,hotel,,,,,,,31.963027,35.8917618
"The Ritz-Carlton, Amman",,,hotel,,,,,,,31.960971,35.8819305
Hotel Hawa Amman,,,hotel,,,,,,,31.9515632,35.9331905
Uptown Apartments,Uptown Apartments,,hotel,,,,,,Amman,31.996382,35.8736722
,Tetra Tree Hotel,,hotel,,,,,,,30.3189846,35.4823478
Black Iris,,,hotel,,,,,,,31.721646,35.791596
عمارة الجوزاء. موسى قنيبي,,عمارة الجوزاء. موسى قنيبي,hotel,,,,,,,32.0189389,35.8754179
Dweik Hotel 1,,,hotel,,,,,,,29.5287738,35.0036868
Amira Hotel,,,hotel,,,,,,,29.5289862,35.0036787
hotel,,,hotel,,,,,,,30.6805986,35.6116915
Dana horizon hotel,,,hotel,,,,7,,Dana,30.677854,35.6107789
Celino suites,,,hotel,,,,,,,31.9612264,35.9028679
O Beach,,,hotel,,,,,,,31.6833499,35.5749712
الجسر الاردن,,,hotel,,,,,,,31.8907619,35.5770159
Amman Inn Hotel,Amman Inn Hotel,,hotel,post_office,,,,,,31.9572152,35.8710398
St John Hotel & Rabwat Madaba Sky Bar & Restaurant,,,hotel,,,,,,,31.7152699,35.7936849
home jorden,,,hotel,,,,,,,32.0207424,35.855318
الدار,home,,hotel,,,,,,,32.0304736,36.0517224
,Sheba hotel,,hotel,,,,,,,31.9795657,35.8978922
الهدير,,الهدير,hotel,,,,,,,31.979547,35.8948705
الهدير للأجنحة الفندقية,,,hotel,,,,,,,31.979553,35.8951449
,Arabel hotel,,hotel,,,,,,,31.9786846,35.8974161
الجاردنز,,الجاردنز,hotel,,,,,,,31.98256,35.8907772
فندق شامي بلازا,Shami plaza Hotel,,hotel,,,,,,,31.9667151,35.9000909
ضراغمة شقق فندقيه,,,hotel,,,,,,,31.965386,35.8851403
Amman West Hotel,Amman West Hotel,,hotel,,,,,,,31.9578457,35.8998672
موقف الفندق,,موقف الفندق,hotel,,,,,,,31.9647542,35.9064417
Cameo Hotel,Cameo Hotel,,hotel,,,,,,,31.9576136,35.8999798
Artal hotel,,,hotel,,,,,,,31.9756694,35.8430608
Crowne Plaza,,,hotel,,,,,,,31.7068514,35.5839231
Mariam Hotel,,,hotel,,,,,,,31.7242464,35.7950427
Madaba Grand Hotel,,,hotel,,,,,,,31.7247314,35.7952756
Ruman,,,hotel,,,,,,,31.7252294,35.7955217
Moab Land Hotel,,,hotel,,,,,,,31.717714,35.7935538
Pilgrim's House,,,hotel,,,,,,,31.7174944,35.7938689
القصر,El Qasr Howard Johnson,القصر,hotel,,,,,,,31.9735338,35.8982324
سما باريس,,,hotel,,,,,,,31.9835441,35.8919493
الهدير للأجنحة الفندقية,,,hotel,,,,,,,31.9795639,35.8951446
Easy Inn,,,hotel,,,,,,,31.9887508,35.8750123
جرش,Hadrian's Gate Hotel,جرش,hotel,,,,4,,,32.2722406,35.8917833
Amman Inn,Amman Inn,,hotel,,,,,,,31.9561011,35.8697421
,Olive Tree,,hotel,,,,,,,31.9425852,35.858393
,,,hotel,,,,,,,31.9983562,35.8259398
فندق الفنار بالاس,Al Fanar Palace Hotel,فندق الفنار بالاس,hotel,,,,,,,31.9969156,35.8834801
الجوهرة الأجنحة الفندقية,Al-Jawhara Hotel,,hotel,,,,,,,32.0086361,35.8837987
Arena Space,Arena Space Hotel,,hotel,,,,,,,31.9855248,35.8772949
