name,name_en,name_ar,tourism,amenity,shop,man_made,rooms,beds,addr_city,latitude,longitude
The Petra Park Map,,,information,,,,,,,30.3244873,35.4679126
,,,information,,,,,,,32.6839583,35.6653072
1 - Madaba’s Roman Road,,,information,,,,,,,31.7159171,35.7954839
"The Bath ""Hammam""",,,information,,,,,,,31.9554501,35.9344808
,,,information,,,,,,,32.3253913,35.7281422
,,,information,,,,,,,32.3251408,35.7276182
,,,information,,,,,,,32.3252775,35.7278693
,Boat crossing Tala Bay - Taba Heights,,information,,,,,,,29.4093111,34.9797474
Umm er Rasas Visitor Visitor Center,,,information,,,,,,,31.5020027,35.9173919
Djinn Blocks (50 BC – 50 AD),,,information,,,,,,,30.3221304,35.4641703
,,,information,,,,,,,30.3290106,35.4447739
The West Church,,,information,,,,,,,32.3290772,36.3682812
House XVIII's Façade and Reservoir,,,information,,,,,,,32.3254684,36.3709246
House XVII's Courtyard,,,information,,,,,,,32.3255301,36.3705886
House 103 and the Double Church,,,information,,,,,,,32.3257916,36.369958
Entering the Neighborhood,,,information,,,,,,,32.3257046,36.3692623
The Numerianos Church,,,information,,,,,,,32.3256344,36.3685964
House XVII,,,information,,,,,,,32.3256794,36.3705789
The Southwest Church,,,information,,,,,,,32.3248014,36.3660859
House 35,,,information,,,,,,,32.3251771,36.3660148
Reservoirs and Water Channels,,,information,,,,,,,32.3268929,36.3703365
Agriculture,,,information,,,,,,,32.3270113,36.3701011
Fauna,,,information,,,,,,,32.3277071,36.3698745
The Gate of Commodus,,,information,,,,,,,32.3287916,36.3684683
Welcome to Ancient Umm e-Jimal,,,information,,,,,,,32.3292324,36.3685267
Basalt Construction Techniques,,,information,,,,,,,32.3258432,36.3707257
Umm al-Jimal City,,,information,,,,,,,32.3246666,36.3683443
Welcome to Umm al-Jimal Walking Trail,,,information,,,,,,,32.324721,36.368302
Outside the House XVII-XVIII Complex,,,information,,,,,,,32.3253692,36.3705732
Religious Life Before Byzantine Umm el-Jimal,,,information,,,,,,,32.325308,36.3684502
House 119 - The Interpretive and Hospitality Center,,,information,,,,,,,32.3248162,36.3684348
The Barracks,,,information,,,,,,,32.3249703,36.3680519
Beyond the Fence,,,information,,,,,,,32.3243867,36.3672144
"Abandonment, Reoccupation and Maintaining a Living Ruin",,,information,,,,,,,32.324619,36.3669978
Byzantine House I and Masa'eid Tent Sites,,,information,,,,,,,32.3247924,36.3665821
House III,,,information,,,,,,,32.3254774,36.3660684
House 49,,,information,,,,,,,32.3258599,36.3661797
The Destruction of Roman Umm el-Jimal: King Gadhima and Queen Zenobia,,,information,,,,,,,32.326133,36.3666652
Umm el-Jimal's Northern Section,,,information,,,,,,,32.3282437,36.3693434
Quarry Reservoir,,,information,,,,,,,32.3263376,36.3701987
House XIII,,,information,,,,,,,32.3269229,36.3697913
"Houses IV, V, VI and VII",,,information,,,,,,,32.3262531,36.3667531
Flora,,,information,,,,,,,32.3264843,36.3673894
The Praetorium,,,information,,,,,,,32.326975,36.3680211
The Cathedral and Community Worship,,,information,,,,,,,32.3276368,36.3682263
When Ancient Meets Modern,,,information,,,,,,,32.3280102,36.3685783
,,,information,,,,,,,32.4270103,36.312317
Wadi adh Dharab Trail,,,information,,,,,,,32.2790815,35.8927866
,,,information,,,,,,,30.3238976,35.4436882
