name,name_en,name_ar,tourism,amenity,shop,man_made,rooms,beds,addr_city,latitude,longitude
,,,motel,,,,,,,30.1979653,35.7356957
عمان شارع الجمعية,,,motel,,,,,,,32.0208134,35.8548059
فندق درة المنصور,Durra Mansur Hotel,,motel,,,,,,,31.9715096,35.8435123
My Home البيت,,,motel,,,,,,,31.979482,35.8515204
شقق الجمل,,,motel,,,,,,,31.9974377,35.8770099
Rose Beity Hotel,,,motel,,,,,,,31.9771343,35.9029635
عمارة عمر المختار 2 شلبه,,عمارة عمر المختار 2 شلبه,motel,,,,,,,31.9724403,35.911905
شقتنا,,,motel,,,,,,,31.9903723,35.8579616
خالو ياسين,,خالو ياسين,motel,,,,,,,32.0340525,35.8772345
شقق الفيصل الفندقية,,,motel,,,,,,,31.9872751,35.8967484
الطرزي للاسكان 2,,,motel,,,,,,,32.5638313,35.8789095
,,,motel,,,,,,,31.8716603,35.890171
marhaba furnished apartment,,,motel,,,,2,,عمان,32.0248157,35.8744714
Karak dream,,,motel,,,,,,,31.1827136,35.7034628
