name,name_en,name_ar,tourism,amenity,shop,man_made,rooms,beds,addr_city,latitude,longitude
علية الباشا,,,museum,,,,,,,32.3125354,35.8394711
المدرج الروماني عمان m&h,,,museum,,,,,,,31.9522558,35.939077
Hedjaz Jordan Railway Museum,,,museum,,,,,,,31.9685052,35.9681828
متحف الدبابات الملكي;RoYAL TANK,,,museum,,,,,,,31.9088072,35.9244481
,Archaeological Park of madaba virgin mary church,,museum,,,,,,,31.7161544,35.7955083
The Inscriptions Museum of Northern Badia,,,museum,,,,,,,32.1985591,37.1104026
Jerash Museum,,,museum,,,,,,,32.2779722,35.8916245
ACOR,ACOR,,museum,,,,,,,32.0088115,35.8682274
Coin museum,,,museum,,,,,,,31.9571022,35.9313073
آرمات عمان,signs of Amman,,museum,,,,,,,31.9527242,35.9321579
Beit Shkair,,,museum,,,,,,,31.9476618,35.9319837
أبو صياح,,,museum,,,,,,,31.9958541,36.0525312
لجنة دعم المساجدوالمشاريع الخيرية,,,museum,,,,,,,31.9682631,35.9102166
Burnt Palace,,,museum,,,,,,,31.7167064,35.7948629
Islamic Museum,,,museum,,,,,,,31.9608573,35.913501
,The Duke's Diwan,,museum,,,,,,,31.9518969,35.9334299
متحف الكرك,Al-Karak Museum,متحف الكرك,museum,,,,,,,31.1821609,35.7017229
متحف القلعة,,متحف القلعة,museum,,,,,,,31.1809629,35.7011482
متحف السيارات الملكي m&h,,,museum,,,,,,,31.9831565,35.8264687
متحف الفلكلور الأردني,Jordan Folklore Museum,متحف الفلكلور الأردني,museum,,,,,,,31.9517413,35.93894
,Museum of Popular Traditions,,museum,,,,,,,31.9518748,35.939648
متحف أم قيس,Umm Qais Museum,متحف أم قيس,museum,,,,,,,32.6558405,35.6795493
