name,name_en,name_ar,tourism,amenity,shop,man_made,rooms,beds,addr_city,latitude,longitude
,,,picnic_site,,,,,,,29.6534607,35.7368687
,,,picnic_site,,,,,,,30.1976973,35.7264576
,,,picnic_site,,,,,,,29.7758236,35.7446641
,,,picnic_site,,,,,,,29.7736136,35.721672
,,,picnic_site,,,,,,,29.7684763,35.723306
,,,picnic_site,,,,,,,29.7627808,35.7226492
,,,picnic_site,,,,,,,29.7625857,35.7214765
,,,picnic_site,,,,,,,29.7314283,35.7096294
,,,picnic_site,,,,,,,29.6236128,35.5640058
,,,picnic_site,,,,,,,29.8643775,35.6527865
,,,picnic_site,,,,,,,29.8339601,35.6777258
,,,picnic_site,,,,,,,29.8025353,35.7001523
,,,picnic_site,,,,,,,29.7627693,35.7225786
,,,picnic_site,,,,,,,32.0381017,36.011625
,,,picnic_site,,,,,,,31.9734255,35.8333082
مدخل بير غصين,,مدخل بير غصين,picnic_site,,,,,,,32.389931,37.8636458
,,,picnic_site,,,,,,,32.4757794,35.7080003
,سد الفيضه,,picnic_site,,,,,,,32.657733,38.1590442
,مقطاعية وادي الفيضه,,picnic_site,,,,,,,32.5792325,38.2387949
,سلطان الغياث,,picnic_site,,,,,,,32.6043547,38.2171306
,سلطان الغياثي,,picnic_site,,,,,,,32.6042794,38.21727
بير غصين الشارع الرئسي,,بير غصين الشارع الرئسي,picnic_site,,,,,,,32.4046595,37.8588143
,,,picnic_site,,,,,,,29.7652524,35.7164401
,,,picnic_site,,,,,,,29.4793555,35.3975884
,,,picnic_site,,,,,,,29.7327692,35.7107567
,,,picnic_site,,,,,,,29.7625342,35.7132012
,,,picnic_site,,,,,,,29.7562593,35.7086957
,,,picnic_site,,,,,,,31.0734027,36.7582961
,,,picnic_site,,,,,,,29.5746278,35.4200013
,,,picnic_site,,,,,,,29.5971874,35.6330827
,,,picnic_site,,,,,,,29.5998944,35.6406728
,,,picnic_site,,,,,,,29.6007432,35.6815643
,,,picnic_site,,,,,,,30.3171733,36.1738453
,,,picnic_site,,,,,,,29.785916,35.755424
,,,picnic_site,,,,,,,31.0950247,36.730229
,,,picnic_site,,,,,,,31.1041897,36.7763376
,,,picnic_site,,,,,,,29.9658295,35.5534352
,,,picnic_site,,,,,,,29.762718,35.7225394
,,,picnic_site,,,,,,,29.8055418,35.7007273
سد ورنس,,,picnic_site,,,,,,,32.6552518,38.1576541
الفكوك,,,picnic_site,,car_parts,,,,,30.5480932,37.2503145
Start of wadi al hasa,,,picnic_site,,,,,,,30.9889171,35.6569912
