name,name_en,name_ar,tourism,amenity,shop,man_made,rooms,beds,addr_city,latitude,longitude
,,,viewpoint,,,,,,,30.1784829,35.4276386
,,,viewpoint,,,,,,,30.1771935,35.4273962
,,,viewpoint,,,,,,,31.9535756,35.9386773
Al Habis,,,viewpoint,,,,,,,30.3290508,35.4388177
,,,viewpoint,,,,,,,31.4457393,35.8199073
,,,viewpoint,,,,,,,31.4516769,35.5633547
Boys of Ramadan Viewpoint,,,viewpoint,,,,,,,30.3288332,35.4505834
,,,viewpoint,,,,,,,30.3731796,35.4453144
,,,viewpoint,,,,,,,32.3799392,35.7631999
,,,viewpoint,,,,,,,30.3281451,35.4443559
,,,viewpoint,,,,,,,30.9970862,35.7169148
,,,viewpoint,,,,,,,30.9606661,35.7740258
,,,viewpoint,,,,,,,31.6246851,35.6134379
,,,viewpoint,,,,,,,31.6226924,35.6100771
,,,viewpoint,,,,,,,31.6047925,35.5732745
,,,viewpoint,,,,,,,31.5014436,35.9190716
,,,viewpoint,,,,,,,31.5001086,35.9213622
,,,viewpoint,,,,,,,31.8798885,36.8280788
,,,viewpoint,,,,,,,32.3278182,36.3705879
,,,viewpoint,,,,,,,32.3261772,36.3698691
Road view,,,viewpoint,,,,,,,30.2060111,35.4689542
,Sunset Viewpoint,,viewpoint,,,,,,,30.6197786,35.6265534
,,,viewpoint,,,,,,,31.9537533,35.9355466
,,,viewpoint,,,,,,,30.3408284,35.4266586
מאגר עשת הדסה,Eshet Hadasa Reservoir,,viewpoint,,,,,,,30.3434056,35.1867414
,Sunset viewpoint,,viewpoint,,,,,,,29.4862323,35.4108307
Moujib panorama,,,viewpoint,,,,,,,31.4717374,35.7816847
,,,viewpoint,,,,,,,31.4332465,35.7924414
,,,viewpoint,,,,,,,30.3233108,35.4711746
الشاطئ الجنوبي شاطئ 3 غطس (m&h),,,viewpoint,,,,,,,29.4315795,34.9755235
معبر الكرامه,,معبر الكرامه,viewpoint,,,,,,,32.6403514,38.659976
معبر الكرامه(طريبيل),,معبر الكرامه(طريبيل),viewpoint,,,,,,,32.7391253,39.0062534
ق.ك.السادسه,,ق.ك.السادسه,viewpoint,,,,,,,32.6353908,38.9784165
جسر الاردن,,,viewpoint,,,,,,,31.8887307,35.5774913
,,,viewpoint,,,,,,,31.6330952,35.6228035
Dead Sea Panorama Complex,,,viewpoint,,,,,,,31.6295406,35.5843623
,,,viewpoint,,,,,,,31.6494745,35.5932153
,,,viewpoint,,,,,,,30.3222291,35.4502205
,,,viewpoint,,,,,,,31.6205935,35.6037041
,,,viewpoint,,,,,,,31.614013,35.6113444
,,,viewpoint,,,,,,,31.6189387,35.6078897
Al Hamra,,الحمراء,viewpoint,,,,,,,32.4407706,36.1501601
الرويشد,,,viewpoint,,,,,,,32.505399,38.2074269
القهقار,,,viewpoint,,,,,,,32.3156617,35.8372526
,,,viewpoint,,,,,,,32.0179929,36.3869116
,,,viewpoint,,,,,,,31.9564697,35.9331007
,,,viewpoint,,,,,,,31.9557954,35.9223073
كازية طريبيل,,كازية طريبيل,viewpoint,,,,,,,32.6672467,38.9350349
حديقة حيوانات,,,viewpoint,,,,,,,31.8319279,35.9103441
מצפה גאון הירדן,,,viewpoint,,,,,,,32.4362243,35.5551428
,,,viewpoint,,,,,,,32.4443788,35.6172182
,,,viewpoint,,,,,,,32.4447365,35.6156464
,,,viewpoint,,,,,,,32.6634833,35.6604833
,,,viewpoint,,,,,,,32.6571404,35.6772251
,,,viewpoint,,,,,,,32.6688705,35.6413103
,lake look out Jordan is real Syria,,viewpoint,,,,,,,32.6604412,35.6597703
,Jerash Best Viewpoint,,viewpoint,,,,,,,32.281389,35.8907921
M. S Resident,M. S Residency,M. S Residency,viewpoint,,,,,,,32.52323,35.850909
المنصورة,,,viewpoint,,,,,,,32.3192169,35.8344673
ابو رويس,,,viewpoint,,,,,,,32.3134058,35.8284856
,,,viewpoint,,,,,,,31.9535059,35.9357098
,,,viewpoint,,,,,,,31.9536933,35.9339558
,,,viewpoint,,,,,,,31.9549312,35.9352906
,,,viewpoint,,,,,,,31.9538377,35.9393459
مركز الالباني للدراسات والأبحاث العلمية,,,viewpoint,,,,,,,31.8999488,35.9298529
,,,viewpoint,,,,,,,31.9501059,35.9367575
المدرج الروماني,,,viewpoint,,,,,,,31.9522286,35.9386382
أرضنا بجرش,,أرضنا بجرش,viewpoint,,,,,,,32.3081651,35.9085735
مسجد المدينة الصناعية سحاب,,,viewpoint,,,,,,,31.8505936,36.0057806
بيتي,My home,,viewpoint,,,,,,,31.9347269,35.9882083
,,,viewpoint,,,,,,,31.9551531,35.9340819
,,,viewpoint,,,,,,,31.9546162,35.9366846
سحاب بالاردن,,,viewpoint,,,,,,,31.8744562,36.0031074
شارع الستين ٦٠,,,viewpoint,,,,,,,31.8390396,36.0542536
,,,viewpoint,,,,,,,31.5936484,37.1225627
Al Lahun,,,viewpoint,,,,,,,31.4616939,35.8474869
,sunset view,,viewpoint,,,,,,,29.4569713,35.4357101
,Sunset view,,viewpoint,,,,,,,29.4534222,35.4286451
,Sunset point,,viewpoint,,,,,,,29.4668692,35.4443337
Um Fruth,,,viewpoint,,,,,,,29.4687267,35.4492316
صعود الباخرة اليخت العقبة (m&h),,,viewpoint,,,,,,,29.5208917,35.0024981
,,,viewpoint,,,,,,,29.5205623,35.0004224
Panorama Natural Bridge,,,viewpoint,,,,,,,29.4762712,35.4830817
,Burdah Bridge Viewpoint,,viewpoint,,,,,,,29.4768113,35.483754
,,,viewpoint,,,,,,,29.4903336,35.4074198
,,,viewpoint,,,,,,,32.0384943,36.0994943
مطل بحيرة طبريا,,,viewpoint,,,,,,,32.6644461,35.6778082
فندق دويك 3,,فندق دويك 3,viewpoint,,,,,,,29.5315513,35.0052187
,,,viewpoint,,,,,,,29.5676437,35.4140176
,Sunset Point,,viewpoint,,,,,,,29.6488989,35.4704451
,,,viewpoint,,,,,,,30.3386741,35.4262492
,,,viewpoint,,,,,,,30.3379378,35.4284932
,,,viewpoint,,,,,,,30.3395729,35.4258782
,,,viewpoint,,,,,,,30.3403262,35.4264181
,,,viewpoint,,,,,,,30.3403962,35.4265013
,,,viewpoint,,,,,,,30.3370049,35.4303798
,,,viewpoint,,,,,,,30.3249259,35.4480719
,,,viewpoint,,,,,,,30.3251888,35.4479663
,,,viewpoint,,,,,,,30.3262484,35.4507966
,,,viewpoint,,,,,,,30.3244025,35.4504519
,,,viewpoint,,,,,,,30.3234329,35.451814
Treasury from above,,,viewpoint,,,,,,,30.3227292,35.4520593
,,,viewpoint,,,,,,,30.3231562,35.4519369
,,,viewpoint,,,,,,,30.3221836,35.4468914
,,,viewpoint,,,,,,,30.3214502,35.446912
,,,viewpoint,,,,,,,30.3204452,35.4484753
Beautiful view over the Great Temple,,,viewpoint,,,,,,,30.330129,35.4423523
,,,viewpoint,,,,,,,30.3305172,35.4393677
ُغروب الشمس / اسرائيل,to the sunset and israeli border,,viewpoint,,,,,,,30.3819669,35.4250058
,,,viewpoint,,,,,,,30.3984157,35.4865887
,,,viewpoint,,,,,,,30.9684873,35.7628806
Panoramic view & tea shop,,,viewpoint,,,,,,,30.8636668,35.521498
وجهة نظر قلعة كرك,,وجهة نظر قلعة كرك,viewpoint,,,,,,,31.17978,35.7053885
بانوراما قلعة الكرك,,بانوراما قلعة الكرك,viewpoint,,,,,,,31.180855,35.7060707
,,,viewpoint,,,,,,,30.9547134,35.708545
,,,viewpoint,,,,,,,29.5295895,35.4210816
,,,viewpoint,,,,,,,29.5288955,35.4211341
Dana Tower,,,viewpoint,,,tower,,,,30.6972961,35.5798197
,,,viewpoint,,,,,,,30.6204036,35.6268919
,,,viewpoint,,,,,,,29.5439747,35.4276219
الصخرة المنحوتة وادي وم (m&h),,,viewpoint,,,,,,,29.7089784,35.4527822
,,,viewpoint,,,,,,,32.3814731,35.7640614
الخانوق,,,viewpoint,,,,,,,32.3165118,35.835229
ظهر المدينة,,,viewpoint,,,,,,,32.3219549,35.8262342
,,,viewpoint,,,,,,,30.5649015,35.5295666
,Sunset point,,viewpoint,,,,,,,30.628133,35.5032535
,Dead Sea & Dana viewpoint,,viewpoint,,,,,,,30.681711,35.5812315
,,,viewpoint,,,,,,,30.3226302,35.4469246
dana view point,,,viewpoint,,,,,,,30.6760347,35.6088194
,END OF ZARA CLIFF TRAIL,,viewpoint,,,,,,,31.6258562,35.5851235
Roof viewpoint,,,viewpoint,,,,,,,29.5301467,35.0032675
,,,viewpoint,,,,,,,30.2729189,35.4492197
,,,viewpoint,,,,,,,30.3188224,35.4465997
,,,viewpoint,,,,,,,30.3180504,35.4582089
Petra view,,,viewpoint,,,,,,,30.3147794,35.4670756
,Overview to Rift valley,,viewpoint,,,,,,,30.5161226,35.5084752
,Al Juhayr panorama view,,viewpoint,,,,,,,30.547362,35.520579
,,,viewpoint,,,,,,,30.4457637,35.4048807
,,,viewpoint,,,,,,,30.6726471,35.6096693
,Dana Reserve Viewpoint,,viewpoint,,,,,,,30.6870755,35.621165
,The White Domes (?),,viewpoint,,,,,,,30.6832217,35.5954635
اسكان بدر,,,viewpoint,,,,,,,32.4381089,35.9454787
מצפה אבנר אלתר,,,viewpoint,,,,,,,32.6529617,35.5878355
,,,viewpoint,,,,,,,31.4581318,35.8483149
,,,viewpoint,,,,,,,31.4330955,35.8034032
فندق أحلى طلة,,فندق أحلى طلة,viewpoint,,,,,,,29.5231605,35.0027857
,,,viewpoint,,,,,,,29.969349,35.2684122
,Average viewpoint,,viewpoint,,,,,,,30.6876516,35.5831966
,,,viewpoint,,,,,,,29.3829913,35.3721118
View on Wadi Sabet,,مطل وادي صابت,viewpoint,,,,,,,29.3925644,35.3789071
,,,viewpoint,,,,,,,30.3819735,35.4206167
,,,viewpoint,,,,,,,30.9049954,35.6895783
,,,viewpoint,,,,,,,31.4560739,35.5697793
,,,viewpoint,,,,,,,30.6830308,35.579954
,,,viewpoint,,,,,,,30.6743176,35.608198
,Viewpoint on Petra,,viewpoint,,,,,,,30.3432905,35.4631604
Burdah Rock Bridge,,,viewpoint,,,,,,,29.4735065,35.5000636
,,,viewpoint,,,,,,,31.1809131,35.7020983
,,,viewpoint,,,,,,,31.1800261,35.7015907
اللحمة,,,viewpoint,,,,,,,32.6577073,35.6820289
Great lookout of the big waterfall,,,viewpoint,,,,,,,31.6047478,35.6037198
,Jabal um Hash,,viewpoint,,,,,,,29.3529797,35.4471648
view on Jordan-river,,,viewpoint,,,,,,,31.8357051,35.5495179
,,,viewpoint,,,,,,,31.2522304,35.5813761
,,,viewpoint,,,,,,,31.949321,35.9275836
,,,viewpoint,,,,,,,32.6633006,35.6504553
Kharaz,,,viewpoint,,,,,,,29.8086111,35.4541667
,,,viewpoint,,,,,,,30.5730315,36.4784068
,,,viewpoint,,,,,,,30.346651,35.4351315
Arch Tower,,,viewpoint,,,,,,,29.5747222,35.5033333
מצפור נהריים,Naharayim viewpoint,,viewpoint,,,,,,,32.6467902,35.5728429
,Belltower View,,viewpoint,,,,,,,31.714803,35.7936279
,,,viewpoint,,,,,,,30.3198253,35.4526668
,,,viewpoint,,,,,,,30.4947392,35.4666949
,,,viewpoint,,,,,,,29.57244,35.4126558
الطبيقى,Al-Tbeqa,,viewpoint,,,,,,,29.5118007,35.4772044
جَبَل نِيبُو,Mount Nebo,جَبَل نِيبُو,viewpoint,,,,,,,31.7681678,35.725269
,Treasury from above,,viewpoint,,,,,,,30.3221496,35.4522024
מגדל תצפית,,,viewpoint,,,tower,,,,30.6682413,35.2645074
ירמוכית,Yarmikhit,,viewpoint,,,,,,,32.6714941,35.5988854
,,,viewpoint,,,,,,,32.2666579,35.8871038
مطل نهر اليرموك,,,viewpoint,,,,,,,32.6771622,35.6610603
مطل بحيرة طبريا,,,viewpoint,,,,,,,32.6612053,35.6783104
,,,viewpoint,,,,,,,31.5958675,37.1168451
,,,viewpoint,,,,,,,30.0468153,35.4479092
